System time;Event;X Gaze Data; Y Gaze Data 
1587052503630;Gaze;7755;2165
1587052503640;Gaze;7739;2172
1587052503650;Gaze;7728;2183
1587052503662;Gaze;7730;2186
1587052503673;Gaze;7732;2186
1587052503685;Gaze;7734;2185
1587052503695;Gaze;7739;2186
1587052503706;Gaze;7742;2186
1587052503717;Gaze;7740;2185
1587052503729;Gaze;7743;2186
1587052503740;Gaze;7750;2187
1587052503750;Gaze;7752;2188
1587052503762;Gaze;7750;2187
1587052503773;Gaze;7740;2180
1587052503784;Gaze;7729;2174
1587052503795;Gaze;7730;2174
1587052503806;Gaze;7733;2175
1587052503818;Gaze;7735;2181
1587052503829;Gaze;7745;2180
1587052503840;Gaze;7773;2179
1587052503851;Gaze;7896;2177
1587052503862;Gaze;8143;2168
1587052503873;Gaze;8236;2165
1587052503884;Gaze;8312;2162
1587052503895;Gaze;8381;2162
1587052503906;Gaze;8440;2161
1587052503917;Gaze;8475;2160
1587052503929;Gaze;8481;2161
1587052503940;Gaze;8489;2157
1587052503951;Gaze;8503;2157
1587052503962;Gaze;8503;2157
1587052503973;Gaze;8491;2156
1587052503984;Gaze;8492;2156
1587052503995;Gaze;8491;2154
1587052504007;Gaze;8493;2153
1587052504018;Gaze;8492;2149
1587052504029;Gaze;8493;2152
1587052504040;Gaze;8492;2156
1587052504051;Gaze;8492;2154
1587052504062;Gaze;8500;2153
1587052504073;Gaze;8528;2154
1587052504083;Gaze;8529;2154
1587052504095;Gaze;8530;2153
1587052504106;Gaze;8528;2153
1587052504117;Gaze;8515;2150
1587052504129;Gaze;8515;2151
1587052504140;Gaze;8521;2153
1587052504150;Gaze;8517;2148
1587052504162;Gaze;8523;2148
1587052504173;Gaze;8522;2148
1587052504184;Gaze;8509;2155
1587052504195;Gaze;8511;2154
1587052504207;Gaze;8508;2154
