System Fixation time;Fixation Event;X Fixation Data; Y Fixation Data 
1587052500354;Fixation data;7479;1945
1587052500365;Fixation data;7483;1928
1587052500376;Fixation data;7483;1921
1587052500386;Fixation data;7477;1923
1587052500398;Fixation data;7472;1931
1587052500410;Fixation data;7474;1934
1587052500420;Fixation data;7475;1934
1587052500432;Fixation data;7480;1938
1587052500443;Fixation data;7481;1946
1587052500453;Fixation data;7484;1951
1587052500465;Fixation data;7486;1948
1587052500476;Fixation data;7484;1946
1587052500487;Fixation data;7480;1949
1587052500498;Fixation begin;7476;1955
1587052500510;Fixation data;7470;1956
1587052500520;Fixation begin;7461;1960
1587052500532;Fixation data;7464;1965
1587052500543;Fixation begin;7484;1955
1587052500553;Fixation data;7481;1949
1587052500565;Fixation data;7473;1939
1587052500576;Fixation data;7456;1940
1587052500587;Fixation data;7437;1945
1587052500598;Fixation data;7416;1946
1587052500609;Fixation data;7412;1939
1587052500620;Fixation begin;7414;1925
1587052500631;Fixation data;7416;1926
1587052500643;Fixation data;7412;1931
1587052500653;Fixation data;7408;1935
1587052500665;Fixation data;7407;1933
1587052500676;Fixation data;7410;1927
1587052500688;Fixation data;7412;1925
1587052500698;Fixation data;7415;1927
1587052500709;Fixation data;7418;1931
1587052500720;Fixation data;7427;1935
1587052500732;Fixation data;7439;1934
1587052500743;Fixation data;7447;1929
1587052500754;Fixation data;7445;1923
1587052500765;Fixation data;7440;1925
1587052500776;Fixation data;7436;1929
1587052500787;Fixation data;7440;1934
1587052500798;Fixation data;7447;1938
1587052500809;Fixation data;7447;1942
1587052500810;Fixation data;7446;1943
1587052500820;Fixation data;7444;1942
1587052500832;Fixation data;7442;1940
1587052500842;Fixation data;7443;1940
1587052500852;Fixation data;7438;1941
1587052500864;Fixation data;7433;1942
1587052500875;Fixation data;7434;1942
1587052500886;Fixation begin;7430;1938
1587052500897;Fixation data;7426;1933
1587052500909;Fixation data;7426;1927
1587052500919;Fixation data;7427;1925
1587052500931;Fixation data;7423;1928
1587052500942;Fixation data;7419;1928
1587052500952;Fixation data;7421;1930
1587052500964;Fixation data;7428;1933
1587052500975;Fixation begin;7439;1938
1587052500986;Fixation data;7439;1937
1587052500998;Fixation data;7441;1943
1587052501020;Fixation begin;7474;1956
1587052501031;Fixation data;7482;1954
1587052501043;Fixation data;7496;1953
1587052501053;Fixation data;7503;1954
1587052501065;Fixation data;7504;1951
1587052501076;Fixation data;7505;1944
1587052501098;Fixation begin;7510;1945
1587052501109;Fixation data;7506;1947
1587052501120;Fixation data;7501;1952
1587052501131;Fixation data;7501;1954
1587052501132;Fixation data;7501;1954
1587052501143;Fixation data;7504;1955
1587052501153;Fixation begin;7502;1948
1587052501165;Fixation data;7500;1944
1587052501175;Fixation data;7497;1940
1587052501186;Fixation data;7495;1937
1587052501197;Fixation begin;7494;1944
1587052501209;Fixation data;7497;1944
1587052501219;Fixation data;7504;1948
1587052501231;Fixation begin;7522;1957
1587052501243;Fixation data;7526;1953
1587052501252;Fixation data;7526;1949
1587052501264;Fixation data;7519;1945
1587052501275;Fixation data;7515;1945
1587052501286;Fixation data;7516;1942
1587052501297;Fixation data;7521;1938
1587052501309;Fixation data;7527;1935
1587052501319;Fixation data;7529;1932
1587052501331;Fixation data;7523;1927
1587052501342;Fixation begin;7506;1920
1587052501353;Fixation data;7503;1922
1587052501364;Fixation data;7501;1922
1587052501376;Fixation data;7500;1920
1587052501387;Fixation data;7495;1915
1587052501398;Fixation data;7498;1916
1587052501409;Fixation data;7507;1921
1587052501420;Fixation data;7517;1927
1587052501430;Fixation data;7523;1930
1587052501442;Fixation data;7520;1931
1587052501452;Fixation data;7514;1933
1587052501464;Fixation data;7505;1932
1587052501475;Fixation begin;7506;1922
1587052501486;Fixation data;7501;1919
